,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expirationDate,dte,T,option_type
1704,AAPL260618P00100000,2025-01-28 17:11:19+00:00,100.0,0.76,0.0,0.0,0.0,0.0,1.0,0.0,0.12500875,False,REGULAR,USD,2026-06-18,492,1.347945205479452,Put
1705,AAPL260618P00105000,2025-02-04 18:29:07+00:00,105.0,0.82,0.0,0.0,0.0,0.0,4.0,0.0,0.12500875,False,REGULAR,USD,2026-06-18,492,1.347945205479452,Put
1706,AAPL260618P00110000,2025-01-27 20:38:35+00:00,110.0,1.0,0.0,0.0,0.0,0.0,307.0,0.0,0.12500875,False,REGULAR,USD,2026-06-18,492,1.347945205479452,Put
1707,AAPL260618P00115000,2025-02-03 20:39:03+00:00,115.0,1.18,0.0,0.0,0.0,0.0,2.0,0.0,0.12500875,False,REGULAR,USD,2026-06-18,492,1.347945205479452,Put
1708,AAPL260618P00120000,2025-02-04 14:50:23+00:00,120.0,1.33,0.0,0.0,0.0,0.0,10.0,0.0,0.12500875,False,REGULAR,USD,2026-06-18,492,1.347945205479452,Put
1709,AAPL260618P00125000,2025-02-03 18:03:25+00:00,125.0,1.66,0.0,0.0,0.0,0.0,2.0,0.0,0.12500875,False,REGULAR,USD,2026-06-18,492,1.347945205479452,Put
1710,AAPL260618P00130000,2025-02-04 14:50:23+00:00,130.0,1.76,0.0,0.0,0.0,0.0,10.0,0.0,0.12500875,False,REGULAR,USD,2026-06-18,492,1.347945205479452,Put
1711,AAPL260618P00135000,2025-01-28 14:36:11+00:00,135.0,1.92,0.0,0.0,0.0,0.0,1.0,0.0,0.062509375,False,REGULAR,USD,2026-06-18,492,1.347945205479452,Put
1712,AAPL260618P00140000,2025-02-04 18:02:08+00:00,140.0,2.12,0.0,0.0,0.0,0.0,1.0,0.0,0.062509375,False,REGULAR,USD,2026-06-18,492,1.347945205479452,Put
1713,AAPL260618P00145000,2025-01-31 14:35:15+00:00,145.0,1.99,0.0,0.0,0.0,0.0,2.0,0.0,0.062509375,False,REGULAR,USD,2026-06-18,492,1.347945205479452,Put
1714,AAPL260618P00150000,2025-02-07 20:13:34+00:00,150.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.062509375,False,REGULAR,USD,2026-06-18,492,1.347945205479452,Put
1715,AAPL260618P00155000,2025-02-07 15:00:11+00:00,155.0,3.15,0.0,0.0,0.0,0.0,1.0,0.0,0.062509375,False,REGULAR,USD,2026-06-18,492,1.347945205479452,Put
1716,AAPL260618P00160000,2025-02-07 15:04:05+00:00,160.0,3.65,0.0,0.0,0.0,0.0,20.0,0.0,0.062509375,False,REGULAR,USD,2026-06-18,492,1.347945205479452,Put
1717,AAPL260618P00165000,2025-02-06 17:04:51+00:00,165.0,4.25,0.0,0.0,0.0,0.0,2.0,0.0,0.062509375,False,REGULAR,USD,2026-06-18,492,1.347945205479452,Put
1718,AAPL260618P00170000,2025-02-07 20:51:01+00:00,170.0,5.35,0.0,0.0,0.0,0.0,18.0,0.0,0.062509375,False,REGULAR,USD,2026-06-18,492,1.347945205479452,Put
1719,AAPL260618P00175000,2025-02-04 19:25:05+00:00,175.0,5.45,0.0,0.0,0.0,0.0,6.0,0.0,0.062509375,False,REGULAR,USD,2026-06-18,492,1.347945205479452,Put
